quality_rating,weighted_quality_score,weighted_error_percent,identifier,weighted_quality_rating,name,completeness_percent,quality_score,weighted_completeness_percent,error_percent
Gold,100.0,0.0,https://web.www.healthdatagateway.org/project/16090674102699244,Gold,,100.0,100.0,100.0,0.0
Gold,100.0,0.0,3020a198-1c1d-4794-b13f-4ee1038a45e9,Gold,,100.0,100.0,100.0,0.0
