error_percent,weighted_quality_score,weighted_error_percent,identifier,quality_score,quality_rating,name,weighted_completeness_percent,weighted_quality_rating,completeness_percent
0.0,100.0,0.0,https://web.www.healthdatagateway.org/tool/19330809167434930,100.0,Gold,COVID-19 Contact Tracing App - iOS,100.0,Gold,100.0
0.0,100.0,0.0,3020a198-1c1d-4794-b13f-4ee1038a45e9,100.0,Gold,COVID-19 Contact Tracing App - iOS,100.0,Gold,100.0
