name,weighted_quality_score,identifier,weighted_error_percent,quality_rating,completeness_percent,error_percent,quality_score,weighted_quality_rating,weighted_completeness_percent
,100.0,https://web.www.healthdatagateway.org/person/8101920551208412,0.0,Gold,100.0,0.0,100.0,Gold,100.0
,95.0,https://web.www.healthdatagateway.org/person/5703995672678985,0.0,Gold,90.0,0.0,95.0,Gold,90.0
